#Scientific name,Protein,BioSample,Isolate,Contig,Start,Stop,Strand,Element symbol,Element name,Type,Scope,Subtype,Class,Subclass,Method,% Coverage of reference,% Identity to reference
"Escherichia coli","WP_049589868.1","SAMN16125001","PDT000889269.1","NZ_JACYGC010000002.1",64173,65798,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HAV7385977.1","SAMN07189724","PDT000933434.1","DADBVP010000009.1",9438,11063,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HAW4419089.1","SAMN07189725","PDT000933435.1","DADEBP010000009.1",8956,10581,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN06236803","PDT000947919.1","NZ_CP019353.1",112518,114143,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN14425029","PDT000950872.1","NZ_JACVWT010000001.1",798,2423,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN16387496","PDT000973531.1","NZ_CP063499.1",1456808,1458433,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","HAZ7594996.1","SAMN12586806","PDT000994590.1","DADPJL010000013.1",9593,11218,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","HBB5020218.1","SAMEA6813695","PDT001002400.1","DADVHC010000010.1",184,1809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN15684126","PDT001043523.1","NZ_CP075056.1",58946,60571,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN22401824","PDT001162567.1","NZ_JAJDKK010000002.1",8977,10602,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN24594990","PDT001220350.1","NZ_JAJVHR010000003.1",49745,51370,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN24394415","PDT001220701.1","CP090269.1",59223,60845,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN20824180","PDT001233003.1","NZ_JAKGAH010000008.1",12147,13772,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN05437805","PDT001262992.1","NZ_MCCL01000002.1",12654,14279,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN05437812","PDT001263001.1","NZ_MCFY01000007.1",23972,25597,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN05437870","PDT001263055.1","NZ_MCEW01000011.1",4165,5790,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN05437872","PDT001263058.1","NZ_MCEY01000010.1",4164,5789,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN27117394","PDT001285140.1","NZ_JALIHE010000003.1",33514,35139,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN27625725","PDT001293965.1","JALMHN010000001.1",8981,10603,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN30247543","PDT001398460.1","NZ_CP102672.1",21986,23611,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN31087294","PDT001467086.1","JAOSQV010000016.1",51127,52749,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN30184369","PDT001483754.1","NZ_CP102701.1",99743,101368,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN21366076","PDT001511857.1","NZ_JAIPYU010000001.1",43597,45222,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN32952208","PDT001608619.1","NZ_JAQQAX010000001.1",49567,51192,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN31373217","PDT001611532.1","NZ_JAOYTB010000001.1",323100,324725,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN06240285","PDT001641482.1","NZ_MTSH01000001.1",8977,10602,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMD00585614","PDT001783985.1","NZ_AP027402.1",19205,20830,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HDX0688979.1","SAMN32138530","PDT001851284.1","DAPNIS010000009.1",9441,11066,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HDW9698230.1","SAMN32138502","PDT001851525.1","DAPMZS010000009.1",8956,10581,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN34281150","PDT001888126.1","NZ_CP125711.1",1997,3622,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624679","PDT001896796.1","NZ_CASDMK010000003.1",2323,3948,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624682","PDT001896809.1","NZ_CASDMV010000002.1",11246,12871,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624656","PDT001896828.1","NZ_CASDNI010000009.1",881,2506,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624669","PDT001896836.1","NZ_CASDNT010000035.1",881,2506,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624684","PDT001896840.1","NZ_CASDNO010000014.1",10473,12098,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMEA112624649","PDT001896841.1","NZ_CASDNW010000007.1",851,2476,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN31029347","PDT001930804.1","NZ_JAOQHI010000001.1",4206,5831,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN31029344","PDT001930809.1","NZ_JAOQHL010000004.1",29402,31027,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN35565424","PDT001953867.1","NZ_CP127003.1",41891,43516,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN38414337","PDT002038280.1","JAXRFH010000035.1",10286,11908,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","HGF6118518.1","SAMN38033965","PDT002049708.1","DBBVEN010000004.1",5298,6923,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","HGF6057227.1","SAMN38033964","PDT002049709.1","DBBVEM010000004.1",5298,6923,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN31953299","PDT002056488.1","JAPPYV010000001.1",313,1935,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN38927635","PDT002074178.1","NZ_JAZGZX010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN38927638","PDT002074180.1","NZ_JAZGZY010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN38927533","PDT002074182.1","NZ_JAZGZW010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMD00562620","PDT002074970.1","NZ_AP027869.1",411861,413486,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMD00562632","PDT002074972.1","NZ_AP027873.1",311154,312779,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMD00562621","PDT002074975.1","NZ_AP027889.1",420899,422524,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMEA115018646","PDT002104108.1","CAWQIH010000012.1",13688,15310,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Shigella sonnei","HFF6413847.1","SAMN40702653","PDT002127594.1","DAXVMA010000004.1",9454,11079,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40615590","PDT002273714.1","NZ_JBBMGM010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40615681","PDT002273716.1","NZ_JBBMGN010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40616571","PDT002273717.1","NZ_JBBMGP010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40615575","PDT002273722.1","NZ_JBBMGL010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40615795","PDT002273725.1","NZ_JBBMGO010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40617338","PDT002273728.1","NZ_JBBMGQ010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619166","PDT002273729.1","NZ_JBBMGR010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619222","PDT002273731.1","NZ_JBBMGT010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619234","PDT002273734.1","NZ_JBBMGU010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619171","PDT002273735.1","NZ_JBBMGS010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619307","PDT002273736.1","NZ_JBBMGV010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619309","PDT002273738.1","NZ_JBBMGW010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619336","PDT002273739.1","NZ_JBBMGX010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619427","PDT002273740.1","NZ_JBBMHA010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619410","PDT002273743.1","NZ_JBBMGZ010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619444","PDT002273747.1","NZ_JBBMHB010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619528","PDT002273750.1","NZ_JBBMHE010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619446","PDT002273753.1","NZ_JBBMHC010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619527","PDT002273756.1","NZ_JBBMHD010000001.1",27184,28809,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN40619890","PDT002273759.1","NZ_JBBMHF010000001.1",19941,21566,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN41858631","PDT002319161.1","NZ_CP158425.1",63997,65622,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HFW8512633.1","SAMN43072707","PDT002321290.1","DBALBK010000010.1",9457,11082,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","HFQ9700379.1","SAMEA115918831","PDT002373011.1","DAZOQJ010000005.1",193092,194088,"-","mcr-1","MCR-1 family phosphoethanolamine--lipid A transferase","AMR","core","AMR","COLISTIN","COLISTIN","PARTIAL_CONTIG_ENDP",61.3,100.0
"Shigella sonnei","HGB0820282.1","SAMN44443341","PDT002457378.1","DBBBXG010000006.1",9436,11061,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN17016187","PDT002561833.1","NZ_JAEDAP010000001.1",42724,44349,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","HGU1802874.1","SAMD00876490","PDT002621611.1","DBFIAG010000115.1",5590,7215,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN46259625","PDT002714161.1","JBMUZR010000002.1",160253,161875,"+","mcr-1.32","phosphoethanolamine--lipid A transferase MCR-1.32","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN44103149","PDT002715302.1","NZ_JBMWBQ010000001.1",2043,3668,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_034169413.1","SAMN47998344","PDT002727340.1","NZ_JBNCOJ010000016.1",3497,5119,"+","mcr-1.26","phosphoethanolamine--lipid A transferase MCR-1.26","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN48264093","PDT002766857.1","NZ_CP190018.1",790942,792567,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Shigella sonnei","HHP3870084.1","SAMN49507920","PDT002813729.1","DBJEOL010000011.1",2539,4164,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN48134972","PDT002982645.1","NZ_JBRZSY010000018.1",54317,55942,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
"Escherichia coli",,"SAMN50752569","PDT002985320.1","ACAJIR020000002.1",60763,62385,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEX",100.0,100.0
"Escherichia coli","WP_049589868.1","SAMN07450713","PDT000233338.1","NZ_NQFM01000013.1",34242,35867,"-","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","AMR","core","AMR","COLISTIN","COLISTIN","ALLELEP",100.0,100.0
